Time,Temperature,Soil Moisture
1680571647,30,50
1680571637,31,51
1680571627,32,52
1680571617,33,53
1680571607,34,54
1680571597,35,55
1680571587,36,56
1680571577,37,57
1680571567,38,58
1680571557,39,59
1680571547,40,60
1680571537,41,61
1680571527,42,62
1680571517,43,63
1680571507,44,64
1680571497,45,65
1680571487,46,66
1680571477,47,67
1680571467,48,68
1680571457,49,69
1680571447,50,70
1680571437,51,71
1680571427,52,72
1680571417,53,73
1680571407,54,74
1680571397,55,75
1680571387,56,76
1680571377,57,77
1680571367,58,78
1680571357,59,79
1680618021,26.1768,339
1680618567,25.4324,339
1680875185,28.9436,353
1680883115,27.244,349
1680886215,27.244,339
1680887573,26.3876,339
1680887790,26.1768,339
1680888137,26.4996,339
1680888461,26.2822,339
1680889248,26.2822,339
1680889805,26.3876,339
1680890348,26.3876,339
1680890479,26.4996,339
1680890640,26.0714,339
1680890942,26.0714,339
1680891625,26.1768,339
1680891875,26.1768,339
1680892358,25.9594,339
1680892442,26.0714,339
1680892964,26.1768,339
1680893279,25.6432,339
1680894880,25.7486,339
1680894957,26.1768,339
1680895354,25.9594,339
1577836835,27.5602,337
1577836803,27.1386,333
1577836883,27.7776,337
1577836851,27.5602,337
1577836905,27.4548,337
1577836920,27.6656,337
1577836936,27.9884,337
1577836951,27.5602,337
1577836966,27.5602,337
1577836982,27.5602,337
1577836997,27.7776,337
1577837013,27.6656,337
1577839953,27.6656,369
1577836803,27.5602,360
1577836860,27.6656,375
1577836826,27.6656,366
